name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,edited,url,date
Luke Skywalker,172,77,blond,fair,blue,19BBY,male,Tatooine,2014-12-20T21:17:56.891000Z,https://swapi.dev/api/people/1/,2014-12-20
C-3PO,167,75,n/a,gold,yellow,112BBY,n/a,Tatooine,2014-12-20T21:17:50.309000Z,https://swapi.dev/api/people/2/,2014-12-20
R2-D2,96,32,n/a,"white, blue",red,33BBY,n/a,Naboo,2014-12-20T21:17:50.311000Z,https://swapi.dev/api/people/3/,2014-12-20
Darth Vader,202,136,none,white,yellow,41.9BBY,male,Tatooine,2014-12-20T21:17:50.313000Z,https://swapi.dev/api/people/4/,2014-12-20
Leia Organa,150,49,brown,light,brown,19BBY,female,Alderaan,2014-12-20T21:17:50.315000Z,https://swapi.dev/api/people/5/,2014-12-20
Owen Lars,178,120,"brown, grey",light,blue,52BBY,male,Tatooine,2014-12-20T21:17:50.317000Z,https://swapi.dev/api/people/6/,2014-12-20
Beru Whitesun lars,165,75,brown,light,blue,47BBY,female,Tatooine,2014-12-20T21:17:50.319000Z,https://swapi.dev/api/people/7/,2014-12-20
R5-D4,97,32,n/a,"white, red",red,unknown,n/a,Tatooine,2014-12-20T21:17:50.321000Z,https://swapi.dev/api/people/8/,2014-12-20
Biggs Darklighter,183,84,black,light,brown,24BBY,male,Tatooine,2014-12-20T21:17:50.323000Z,https://swapi.dev/api/people/9/,2014-12-20
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57BBY,male,Stewjon,2014-12-20T21:17:50.325000Z,https://swapi.dev/api/people/10/,2014-12-20
Sly Moore,178,48,none,pale,white,unknown,female,Umbara,2014-12-20T21:17:50.496000Z,https://swapi.dev/api/people/82/,2014-12-20
Tion Medon,206,80,none,grey,black,unknown,male,Utapau,2014-12-20T21:17:50.498000Z,https://swapi.dev/api/people/83/,2014-12-20
Quarsh Panaka,183,unknown,black,dark,brown,62BBY,male,Naboo,2014-12-20T21:17:50.399000Z,https://swapi.dev/api/people/42/,2014-12-20
Shmi Skywalker,163,unknown,black,fair,brown,72BBY,female,Tatooine,2014-12-20T21:17:50.401000Z,https://swapi.dev/api/people/43/,2014-12-20
Darth Maul,175,80,none,red,yellow,54BBY,male,Dathomir,2014-12-20T21:17:50.403000Z,https://swapi.dev/api/people/44/,2014-12-20
Bib Fortuna,180,unknown,none,pale,pink,unknown,male,Ryloth,2014-12-20T21:17:50.407000Z,https://swapi.dev/api/people/45/,2014-12-20
Ayla Secura,178,55,none,blue,hazel,48BBY,female,Ryloth,2014-12-20T21:17:50.409000Z,https://swapi.dev/api/people/46/,2014-12-20
Ratts Tyerel,79,15,none,"grey, blue",unknown,unknown,male,Aleen Minor,2014-12-20T21:17:50.410000Z,https://swapi.dev/api/people/47/,2014-12-20
Dud Bolt,94,45,none,"blue, grey",yellow,unknown,male,Vulpter,2014-12-20T21:17:50.414000Z,https://swapi.dev/api/people/48/,2014-12-20
Gasgano,122,unknown,none,"white, blue",black,unknown,male,Troiken,2014-12-20T21:17:50.416000Z,https://swapi.dev/api/people/49/,2014-12-20
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,unknown,male,Tund,2014-12-20T21:17:50.417000Z,https://swapi.dev/api/people/50/,2014-12-20
Mace Windu,188,84,none,dark,brown,72BBY,male,Haruun Kal,2014-12-20T21:17:50.420000Z,https://swapi.dev/api/people/51/,2014-12-20
Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,Kamino,2014-12-20T21:17:50.349000Z,https://swapi.dev/api/people/22/,2014-12-20
IG-88,200,140,none,metal,red,15BBY,none,unknown,2014-12-20T21:17:50.351000Z,https://swapi.dev/api/people/23/,2014-12-20
Bossk,190,113,none,green,red,53BBY,male,Trandosha,2014-12-20T21:17:50.355000Z,https://swapi.dev/api/people/24/,2014-12-20
Lando Calrissian,177,79,black,dark,brown,31BBY,male,Socorro,2014-12-20T21:17:50.357000Z,https://swapi.dev/api/people/25/,2014-12-20
Lobot,175,79,none,light,blue,37BBY,male,Bespin,2014-12-20T21:17:50.359000Z,https://swapi.dev/api/people/26/,2014-12-20
